name,artist_to,popularity
XXXTENTACION,Lil Yachty,92
XXXTENTACION,Wifisfuneral,92
XXXTENTACION,iann dior,92
XXXTENTACION,Blueface,92
XXXTENTACION,Lil Uzi Vert,92
XXXTENTACION,Trippie Redd,92
XXXTENTACION,Juice WRLD,92
XXXTENTACION,DJ Scheme,92
XXXTENTACION,YNW Melly,92
XXXTENTACION,Metro Boomin,92
XXXTENTACION,Lil Mosey,92
XXXTENTACION,Famous Dex,92
XXXTENTACION,Internet Money,92
XXXTENTACION,Lil Skies,92
XXXTENTACION,Scarlxrd,92
Maluma,Reykon,91
Maluma,J Balvin,91
Maluma,Alkilados,91
Maluma,Manuel Turizo,91
Maluma,Chris Jedi,91
Maluma,Ozuna,91
Maluma,Cali Y El Dandee,91
Maluma,Rayo & Toby,91
Maluma,Greeicy,91
Maluma,Piso 21,91
Maluma,Sebastian Yatra,91
Maluma,Danny Ocean,91
Maluma,Nio Garcia,91
Maluma,Kevin Roldan,91
Maluma,J Alvarez,91
Maluma,KAROL G,91
Maluma,Natti Natasha,91
Maluma,Farruko,91
Maluma,Mau y Ricky,91
Maluma,Justin Quiles,91
Maroon 5,OneRepublic,91
Maroon 5,The Script,91
Maroon 5,Train,91
Maroon 5,DNCE,91
Maroon 5,Hailee Steinfeld,91
Maroon 5,Jason Mraz,91
Maroon 5,Charlie Puth,91
Maroon 5,Jonas Brothers,91
Maroon 5,The Fray,91
Maroon 5,Andy Grammer,91
Maroon 5,Olly Murs,91
Maroon 5,Jessie J,91
Maroon 5,Jonas Blue,91
Maroon 5,The Wanted,91
Maroon 5,MKTO,91
Maroon 5,Katy Perry,91
Maroon 5,Nick Jonas,91
Maroon 5,Zedd,91
Maroon 5,Clean Bandit,91
Maroon 5,Colbie Caillat,91
Lil Tjay,Fivio Foreign,91
Lil Tjay,A Boogie Wit da Hoodie,91
Lil Tjay,Sheff G,91
Lil Tjay,Lil Tecca,91
Lil Tjay,Quando Rondo,91
Lil Tjay,PnB Rock,91
Lil Tjay,Lil Mosey,91
Lil Tjay,Tee Grizzley,91
Lil Tjay,Roddy Ricch,91
Lil Tjay,YNW Melly,91
Lil Tjay,J.I the Prince of N.Y,91
Lil Tjay,Calboy,91
Lil Tjay,Sleepy Hallow,91
Lil Tjay,Polo G,91
Lil Tjay,DDG,91
Lil Tjay,Bankrol Hayden,91
Lil Tjay,Luh Kel,91
